episode,title,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive
1,"Good News, Bad News",0.12980769230769232,0.35096153846153844,0.10576923076923077,0.16826923076923078,0.19230769230769232,0.12980769230769232,0.13942307692307693,0.23557692307692307,0.30288461538461536,0.3942307692307692
2,The Stakeout,0.05830903790087463,0.22448979591836735,0.04956268221574344,0.08746355685131195,0.14868804664723032,0.07580174927113703,0.11078717201166181,0.16034985422740525,0.16034985422740525,0.27696793002915454
3,The Robbery,0.13768115942028986,0.15579710144927536,0.05434782608695652,0.13043478260869565,0.12681159420289856,0.14130434782608695,0.06884057971014493,0.15942028985507245,0.2717391304347826,0.2318840579710145
4,Male Unbonding,0.09623430962343096,0.21338912133891214,0.06694560669456066,0.12552301255230125,0.1297071129707113,0.12552301255230125,0.07112970711297072,0.18828451882845187,0.28870292887029286,0.2928870292887029
5,The Stock Tip,0.1565217391304348,0.23478260869565218,0.0782608695652174,0.1782608695652174,0.2,0.19130434782608696,0.1391304347826087,0.2826086956521739,0.30869565217391304,0.34782608695652173
6,The Ex-Girlfriend,0.13168724279835392,0.24691358024691357,0.13580246913580246,0.16049382716049382,0.17695473251028807,0.1522633744855967,0.1646090534979424,0.25102880658436216,0.2880658436213992,0.3497942386831276
7,The Pony Remark,0.08,0.16,0.072,0.08,0.096,0.144,0.064,0.168,0.244,0.284
8,The Jacket,0.0842911877394636,0.18773946360153257,0.09578544061302682,0.13793103448275862,0.13793103448275862,0.12643678160919541,0.08812260536398467,0.19540229885057472,0.27586206896551724,0.3218390804597701
9,The Phone Message,0.08365019011406843,0.18631178707224336,0.08365019011406843,0.12547528517110265,0.13307984790874525,0.12547528517110265,0.11026615969581749,0.18250950570342206,0.25475285171102663,0.28517110266159695
10,The Apartment,0.11743772241992882,0.2526690391459075,0.10320284697508897,0.099644128113879,0.23487544483985764,0.13523131672597866,0.12811387900355872,0.2526690391459075,0.25622775800711745,0.3701067615658363
11,The Statue,0.11458333333333333,0.2222222222222222,0.10416666666666667,0.14930555555555555,0.1840277777777778,0.1423611111111111,0.11458333333333333,0.2361111111111111,0.3298611111111111,0.4479166666666667
12,The Revenge,0.1070110701107011,0.23616236162361623,0.05166051660516605,0.12177121771217712,0.1992619926199262,0.07749077490774908,0.12915129151291513,0.2878228782287823,0.21033210332103322,0.39114391143911437
13,The Heart Attack,0.16826923076923078,0.25961538461538464,0.09134615384615384,0.2932692307692308,0.21153846153846154,0.19230769230769232,0.1346153846153846,0.34615384615384615,0.32211538461538464,0.47115384615384615
14,The Deal,0.06968641114982578,0.20209059233449478,0.06968641114982578,0.09407665505226481,0.18118466898954705,0.08710801393728224,0.1254355400696864,0.20905923344947736,0.1672473867595819,0.28222996515679444
15,The Baby Shower,0.20361990950226244,0.2398190045248869,0.15384615384615385,0.2171945701357466,0.17647058823529413,0.17647058823529413,0.17647058823529413,0.248868778280543,0.40271493212669685,0.40271493212669685
16,The Chinese Restaurant,0.10638297872340426,0.24680851063829787,0.11063829787234042,0.10212765957446808,0.14893617021276595,0.08936170212765958,0.1276595744680851,0.20851063829787234,0.2680851063829787,0.39574468085106385
17,The Busboy,0.09004739336492891,0.2132701421800948,0.07109004739336493,0.15165876777251186,0.061611374407582936,0.16113744075829384,0.09004739336492891,0.15165876777251186,0.27488151658767773,0.2938388625592417
18,The Note,0.09393939393939393,0.15454545454545454,0.05757575757575758,0.09393939393939393,0.13636363636363635,0.09696969696969697,0.05454545454545454,0.15757575757575756,0.18787878787878787,0.2727272727272727
19,The Truth,0.13026819923371646,0.18773946360153257,0.10344827586206896,0.15708812260536398,0.18773946360153257,0.1839080459770115,0.12260536398467432,0.2567049808429119,0.3103448275862069,0.4061302681992337
20,The Pen,0.0797872340425532,0.13297872340425532,0.047872340425531915,0.09308510638297872,0.09574468085106383,0.08776595744680851,0.047872340425531915,0.13829787234042554,0.1702127659574468,0.20212765957446807
21,The Dog,0.10196078431372549,0.3058823529411765,0.08627450980392157,0.19215686274509805,0.11764705882352941,0.19215686274509805,0.07058823529411765,0.13333333333333333,0.3333333333333333,0.24313725490196078
22,The Library,0.09292035398230089,0.17699115044247787,0.13274336283185842,0.1504424778761062,0.11504424778761062,0.2168141592920354,0.09734513274336283,0.17699115044247787,0.35398230088495575,0.3584070796460177
23,The Parking Garage,0.11070110701107011,0.23247232472324722,0.13653136531365315,0.16605166051660517,0.12915129151291513,0.1881918819188192,0.05166051660516605,0.2177121771217712,0.34317343173431736,0.2656826568265683
24,The Cafe,0.061946902654867256,0.11504424778761062,0.05309734513274336,0.061946902654867256,0.12979351032448377,0.05604719764011799,0.07079646017699115,0.13864306784660768,0.13864306784660768,0.2536873156342183
25,The Tape,0.06645569620253164,0.20569620253164558,0.05063291139240506,0.08227848101265822,0.14873417721518986,0.06962025316455696,0.0759493670886076,0.1962025316455696,0.17721518987341772,0.2721518987341772
26,The Nose Job,0.084,0.188,0.136,0.1,0.2,0.096,0.084,0.232,0.2,0.352
27,The Stranded,0.08484848484848485,0.18181818181818182,0.09696969696969697,0.11212121212121212,0.13636363636363635,0.10606060606060606,0.08181818181818182,0.1393939393939394,0.19696969696969696,0.24848484848484848
28,The Alternate Side,0.10810810810810811,0.16554054054054054,0.060810810810810814,0.12162162162162163,0.10472972972972973,0.10472972972972973,0.10472972972972973,0.16554054054054054,0.2972972972972973,0.2702702702702703
29,The Red Dot,0.08865248226950355,0.17375886524822695,0.08156028368794327,0.08156028368794327,0.17375886524822695,0.05673758865248227,0.10283687943262411,0.14184397163120568,0.20212765957446807,0.3120567375886525
30,The Subway,0.11320754716981132,0.2389937106918239,0.11949685534591195,0.13836477987421383,0.16352201257861634,0.1509433962264151,0.1320754716981132,0.1949685534591195,0.2830188679245283,0.2893081761006289
31,The Pez Dispenser,0.1048951048951049,0.13286713286713286,0.13286713286713286,0.0979020979020979,0.16083916083916083,0.1258741258741259,0.1048951048951049,0.13636363636363635,0.2902097902097902,0.2972027972027972
32,The Suicide,0.07878787878787878,0.1606060606060606,0.09393939393939393,0.15757575757575756,0.14242424242424243,0.1393939393939394,0.09696969696969697,0.16363636363636364,0.25757575757575757,0.2727272727272727
33,The Fix-Up,0.07692307692307693,0.2408026755852843,0.08695652173913043,0.10702341137123746,0.2040133779264214,0.11371237458193979,0.12709030100334448,0.2408026755852843,0.24749163879598662,0.30434782608695654
34,The Boyfriend (1),0.0664451827242525,0.08970099667774087,0.05647840531561462,0.059800664451827246,0.09302325581395349,0.053156146179401995,0.03322259136212625,0.07973421926910298,0.15282392026578073,0.21262458471760798
35,The Boyfriend (2),0.08733624454148471,0.30131004366812225,0.06986899563318777,0.09606986899563319,0.2183406113537118,0.10480349344978165,0.1091703056768559,0.16593886462882096,0.21397379912663755,0.3056768558951965
36,The Limo,0.1018867924528302,0.2490566037735849,0.07924528301886792,0.15471698113207547,0.1509433962264151,0.1169811320754717,0.06037735849056604,0.17358490566037735,0.25660377358490566,0.3471698113207547
37,The Good Samaritan,0.11688311688311688,0.18831168831168832,0.07142857142857142,0.11038961038961038,0.19805194805194806,0.10714285714285714,0.07467532467532467,0.22727272727272727,0.2662337662337662,0.2922077922077922
38,The Letter,0.14035087719298245,0.27017543859649124,0.09824561403508772,0.12631578947368421,0.18596491228070175,0.12631578947368421,0.13333333333333333,0.24210526315789474,0.25263157894736843,0.2912280701754386
39,The Parking Space,0.10103626943005181,0.14507772020725387,0.08549222797927461,0.09067357512953368,0.10880829015544041,0.07512953367875648,0.07253886010362694,0.15803108808290156,0.20725388601036268,0.22020725388601037
40,The Keys,0.07368421052631578,0.1649122807017544,0.06666666666666667,0.12982456140350876,0.08421052631578947,0.08771929824561403,0.05964912280701754,0.10175438596491228,0.17192982456140352,0.1824561403508772
41,The Trip (1),0.08185053380782918,0.19217081850533807,0.08540925266903915,0.1423487544483986,0.11743772241992882,0.12099644128113879,0.08185053380782918,0.23843416370106763,0.24199288256227758,0.24555160142348753
42,The Trip (2),0.11673151750972763,0.1867704280155642,0.07392996108949416,0.20233463035019456,0.15953307392996108,0.12840466926070038,0.0622568093385214,0.23346303501945526,0.25680933852140075,0.31906614785992216
43,The Pitch,0.03064066852367688,0.17548746518105848,0.04178272980501393,0.0807799442896936,0.11142061281337047,0.055710306406685235,0.08356545961002786,0.2590529247910863,0.13649025069637882,0.28133704735376047
44,The Ticket,0.09248554913294797,0.1416184971098266,0.03468208092485549,0.10404624277456648,0.1069364161849711,0.09826589595375723,0.08092485549132948,0.2543352601156069,0.18208092485549132,0.2543352601156069
45,The Wallet (1),0.06666666666666667,0.20833333333333334,0.07777777777777778,0.11944444444444445,0.14722222222222223,0.1,0.12222222222222222,0.2361111111111111,0.18333333333333332,0.2388888888888889
46,The Watch (2),0.09198813056379822,0.2403560830860534,0.05934718100890208,0.0830860534124629,0.23738872403560832,0.09792284866468842,0.10979228486646884,0.26409495548961426,0.1572700296735905,0.4065281899109792
47,The Bubble Boy,0.07183908045977011,0.1896551724137931,0.10057471264367816,0.08045977011494253,0.14942528735632185,0.08045977011494253,0.08620689655172414,0.14655172413793102,0.20689655172413793,0.19540229885057472
